Mach,CD Power-On
0.01,0.864704282042748
0.02,0.750506393313652
0.03,0.693755354612784
0.04,0.657282557376434
0.05,0.630938032548133
0.06,0.610578123428736
0.07,0.59413129393706
0.08,0.580423706424858
0.09,0.568730254908336
0.1,0.558573565819418
0.11,0.549624426406069
0.12,0.541646395381229
0.13,0.534464585688416
0.14,0.527946348923924
0.15,0.521988524868009
0.16,0.516509835171775
0.17,0.511444865154244
0.18,0.506740454353694
0.19,0.502352737402848
0.2,0.498245186505308
0.21,0.494387002164036
0.22,0.490752099240074
0.23,0.487318187717039
0.24,0.484065988872189
0.25,0.480978904661567
0.26,0.478488728238579
0.27,0.4764226266724
0.28,0.475354086733754
0.29,0.474451052635922
0.3,0.473601138696064
0.31,0.472800453265037
0.32,0.472110511437449
0.33,0.472412047230748
0.34,0.472713588536774
0.35,0.473015166731772
0.36,0.473316767401264
0.37,0.473618353089976
0.38,0.473920007984668
0.39,0.474221667220717
0.4,0.474523343819108
0.41,0.474825037096059
0.42,0.47512674637202
0.43,0.475428505391821
0.44,0.475730265355059
0.45,0.476032055346764
0.46,0.47633387703801
0.47,0.476635713726818
0.48,0.476937560090222
0.49,0.47723942014543
0.5,0.477541309288593
0.51,0.477843208499617
0.52,0.478145135516536
0.53,0.478447089704141
0.54,0.478749033676839
0.55,0.479051040315528
0.56,0.479353035487979
0.57,0.479655039285323
0.58,0.479957064800284
0.59,0.479252754838244
0.6,0.47854850212649
0.61,0.478637725600165
0.62,0.478698008560471
0.63,0.478757782238711
0.64,0.478817043706263
0.65,0.47887581308323
0.66,0.47893410349108
0.67,0.478991879925536
0.68,0.479049162517111
0.69,0.479105964397596
0.7,0.479162287327191
0.71,0.479218112358301
0.72,0.479273422880714
0.73,0.479328287170965
0.74,0.479382649537168
0.75,0.479436550844356
0.76,0.479489949116166
0.77,0.479542864512923
0.78,0.479595330907163
0.79,0.479647297291151
0.8,0.47969877683257
0.81,0.479749824124537
0.82,0.479800385834618
0.83,0.479850477473821
0.84,0.479900066426988
0.85,0.47994920263138
0.86,0.479997901607075
0.87,0.480046169836191
0.88,0.480093910248014
0.89,0.480141085574194
0.9,0.480187879074662
0.91,0.48345315665237
0.92,0.493248989385493
0.93,0.503423430379152
0.94,0.509078563266788
0.95,0.514733696154423
0.96,0.520388829042058
0.97,0.526043961929693
0.98,0.531699094817328
0.99,0.537354227704963
1.0,0.543009360592598
1.01,0.548664493480234
1.02,0.554319626367869
1.03,0.559974759255504
1.04,0.565629892143139
1.05,0.571285025030774
1.06,0.569458745981391
1.07,0.567658680183547
1.08,0.565884097519362
1.09,0.564134328633284
1.1,0.562408708213552
1.11,0.560706599030558
1.12,0.559027354500962
1.13,0.557370426787009
1.14,0.555735226443332
1.15,0.554121204772226
1.16,0.551636227371078
1.17,0.54914248307419
1.18,0.546674489023896
1.19,0.544233781891694
1.2,0.541426244108188
1.21,0.538431794997801
1.22,0.53546082066744
1.23,0.532512538592374
1.24,0.529586656155064
1.25,0.526695608056769
1.26,0.523889301853458
1.27,0.521141522780934
1.28,0.51844299546093
1.29,0.515789322474977
1.3,0.513177509074108
1.31,0.510605863000627
