Mach,CD Power-Off
0.01,0.914160530734897
0.02,0.7999626420058
0.03,0.743211603304933
0.04,0.706738806068583
0.05,0.680394281240281
0.06,0.660034372120884
0.07,0.643587542629209
0.08,0.629879955117006
0.09,0.618186503600485
0.1,0.608029814511567
0.11,0.599080675098218
0.12,0.591102644073378
0.13,0.583920834380564
0.14,0.577402597616073
0.15,0.571444773560157
0.16,0.565966083863924
0.17,0.560901113846392
0.18,0.556196703045843
0.19,0.551808986094997
0.2,0.547701435197457
0.21,0.543843250856185
0.22,0.540208347932222
0.23,0.536774436409187
0.24,0.533522237564338
0.25,0.530435153353716
0.26,0.527944976930728
0.27,0.525878875364548
0.28,0.524810335425903
0.29,0.52390730132807
0.3,0.523057387388212
0.31,0.522256701957186
0.32,0.521566760129598
0.33,0.521868295922897
0.34,0.522169837228922
0.35,0.522471415423921
0.36,0.522773016093413
0.37,0.523074601782124
0.38,0.523376256676817
0.39,0.523677915912866
0.4,0.523979592511257
0.41,0.524281285788208
0.42,0.524582995064169
0.43,0.52488475408397
0.44,0.525186514047207
0.45,0.525488304038912
0.46,0.525790125730158
0.47,0.526091962418967
0.48,0.526393808782371
0.49,0.526695668837578
0.5,0.526997557980742
0.51,0.527299457191765
0.52,0.527601384208684
0.53,0.52790333839629
0.54,0.528205282368988
0.55,0.528507289007677
0.56,0.528809284180127
0.57,0.529111287977471
0.58,0.529413313492433
0.59,0.529715346403373
0.6,0.5300174365646
0.61,0.531113002911257
0.62,0.532179628744543
0.63,0.533245745295764
0.64,0.534311349636297
0.65,0.535376461886245
0.66,0.536441095167075
0.67,0.537505214474513
0.68,0.538568839939069
0.69,0.539631984692534
0.7,0.54069465049511
0.71,0.541756818399202
0.72,0.542818471794595
0.73,0.543879678957827
0.74,0.544940384197011
0.75,0.54600062837718
0.76,0.547060369521971
0.77,0.548119627791708
0.78,0.54917843705893
0.79,0.550236746315899
0.8,0.551294568730298
0.81,0.552351958895246
0.82,0.553408863478308
0.83,0.554465297990491
0.84,0.555521229816639
0.85,0.556576708894013
0.86,0.557631750742689
0.87,0.558686361844785
0.88,0.559740445129589
0.89,0.56079396332875
0.9,0.561847099702199
0.91,0.565667659980174
0.92,0.577129340814099
0.93,0.590839214216242
0.94,0.601066439769642
0.95,0.611293665323042
0.96,0.621520890876442
0.97,0.631748116429842
0.98,0.641975341983242
0.99,0.652202567536641
1.0,0.662429793090041
1.01,0.672657018643441
1.02,0.682884244196841
1.03,0.693111469750241
1.04,0.703338695303641
1.05,0.713565920857041
1.06,0.711136884355624
1.07,0.708734061105746
1.08,0.706356720989526
1.09,0.704004194651414
1.1,0.701675816779647
1.11,0.69937095014462
1.12,0.697088948162988
1.13,0.694829262997001
1.14,0.692591305201289
1.15,0.69037452607815
1.16,0.687286791224967
1.17,0.684190289476044
1.18,0.681119537973716
1.19,0.678076073389479
1.2,0.675057570556078
1.21,0.672063121445691
1.22,0.66909214711533
1.23,0.666143865040264
1.24,0.663217982602954
1.25,0.660326934504659
1.26,0.657520628301348
1.27,0.654772849228824
1.28,0.65207432190882
1.29,0.649420648922867
1.3,0.646808835521999
1.31,0.644237189448517
1.32,0.64170389040442
1.33,0.639207944672657
1.34,0.636748131944668
1.35,0.634323825703109
1.36,0.631934066315404
1.37,0.62957834538719
1.38,0.627256052613059
1.39,0.624966699990716
1.4,0.622709717839596
1.41,0.62048469181727
1.42,0.618291245410096
1.43,0.616129108600135
1.44,0.613997856491264
1.45,0.611897199748226
1.46,0.609826847385979
1.47,0.607786444891102
1.48,0.605775958053006
1.49,0.603794954533756
1.5,0.601843215120748
1.51,0.59992065309629
1.52,0.598026964248026
1.53,0.596162106238704
1.54,0.594325682195537
1.55,0.59251775006738
1.56,0.590737980625108
1.57,0.588986410972986
1.58,0.58726273612172
1.59,0.585566925123944
1.6,0.583898756553006
1.61,0.582258232522966
1.62,0.580645168852245
1.63,0.579059543822518
1.64,0.577501097264825
1.65,0.575969922920578
1.66,0.574465855339133
1.67,0.572988718355189
1.68,0.571538643347454
1.69,0.570115377943754
1.7,0.56871895536789
1.71,0.56734922622483
1.72,0.566006133749225
1.73,0.564689732253254
1.74,0.563399884786453
1.75,0.562136643223915
1.76,0.560899777868662
1.77,0.559689366890945
1.78,0.558505353348113
1.79,0.557347733938571
1.8,0.556216385665833
1.81,0.555111371611459
1.82,0.554032682726486
1.83,0.552980205702642
1.84,0.55195392178106
1.85,0.550953823901884
1.86,0.549979916447578
1.87,0.549032172598551
1.88,0.548110589663073
1.89,0.547215189328605
1.9,0.546345946053297
1.91,0.545502776855526
1.92,0.544685788947715
1.93,0.543894886139039
1.94,0.5431300635162
1.95,0.542391437506732
1.96,0.541678835243558
1.97,0.540992455331979
1.98,0.540332214426364
1.99,0.539698035771169
2.0,0.539090025318838
2.01,0.538612657280516
2.02,0.538156222417584
2.03,0.537731195075467
2.04,0.537337414618592
2.05,0.536974775035418
2.06,0.53663020439322
2.07,0.53618019583538
2.08,0.535760110662029
2.09,0.535370092894332
2.1,0.535009854630452
2.11,0.534679342481617
2.12,0.534378695179579
2.13,0.534107650476847
2.14,0.533866164767949
2.15,0.533654171795138
2.16,0.533471738787365
2.17,0.533318615161589
2.18,0.533194951643578
2.19,0.533100637016474
2.2,0.533035516635259
2.21,0.532999671938754
2.22,0.53299306734101
2.23,0.533015585801765
2.24,0.53219340104265
2.25,0.53004270366067
2.26,0.527907990227236
2.27,0.525789039846882
2.28,0.523685763110849
2.29,0.521597779471456
2.3,0.519524959134987
2.31,0.517467154454786
2.32,0.51542416396383
2.33,0.51339570948134
2.34,0.511381621961728
2.35,0.509381847638307
2.36,0.507396196777851
2.37,0.505424306144455
2.38,0.503466154648754
2.39,0.501521636802634
2.4,0.499590437808916
2.41,0.497672497863588
2.42,0.495767686282149
2.43,0.493875751637436
2.44,0.491996668772671
2.45,0.490130289054437
2.46,0.488276273860877
2.47,0.486434724354957
2.48,0.484605392901256
