Mach,CD Power-On
0.01,1.00837145975426
0.02,0.87017042732314
0.03,0.801582663718346
0.04,0.757529570354462
0.05,0.725720348548817
0.06,0.701142060039043
0.07,0.681290131218902
0.08,0.664745680539199
0.09,0.650632791685226
0.1,0.638374948402797
0.11,0.627574531332683
0.12,0.617945886668639
0.13,0.609278004481026
0.14,0.601410767023635
0.15,0.594219869396587
0.16,0.587606862355129
0.17,0.581493053837544
0.18,0.575814252644626
0.19,0.570517450535066
0.2,0.565558524396821
0.21,0.560900676687801
0.22,0.556511947148219
0.23,0.552365877677729
0.24,0.548438949963371
0.25,0.544711064885542
0.26,0.541554492666431
0.27,0.53960697729365
0.28,0.537913038995379
0.29,0.536305965729669
0.3,0.534779165463029
0.31,0.533811304945181
0.32,0.534028687197687
0.33,0.534246159891934
0.34,0.534463721939777
0.35,0.534681532690592
0.36,0.534899270208424
0.37,0.535117254286824
0.38,0.535335483864609
0.39,0.535553637025792
0.4,0.535771873153036
0.41,0.535990351635502
0.42,0.536208911007393
0.43,0.536427710670703
0.44,0.536646428741665
0.45,0.536865385065603
0.46,0.537084418201975
0.47,0.537303527147133
0.48,0.53752287133426
0.49,0.537742289341235
0.5,0.537961780182671
0.51,0.538181342879182
0.52,0.538400976457322
0.53,0.538620840380242
0.54,0.538840773255544
0.55,0.539060934558041
0.56,0.5392810024762
0.57,0.539501296927001
0.58,0.539721656540995
0.59,0.538940014496164
0.6,0.538158596184558
0.61,0.53807286776867
0.62,0.537962013196884
0.63,0.537850577455239
0.64,0.53773888049948
0.65,0.537626760998618
0.66,0.537514378488391
0.67,0.53740157164842
0.68,0.537288339594269
0.69,0.537174841877403
0.7,0.537060917193053
0.71,0.536946725102971
0.72,0.536832104312592
0.73,0.536717214393798
0.74,0.536601894062077
0.75,0.536486302899283
0.76,0.536370279630804
0.77,0.536253823417619
0.78,0.536137254286962
0.79,0.536020090117391
0.8,0.535902811376441
0.81,0.535784935952197
0.82,0.535666944321654
0.83,0.535548514812984
0.84,0.535429646620399
0.85,0.535310659804118
0.86,0.535191232706129
0.87,0.53507136453436
0.88,0.534951214931942
0.89,0.534830783115775
0.9,0.534709907876497
0.91,0.538345935250057
0.92,0.549254017370738
0.93,0.55905922018495
0.94,0.562307502632353
0.95,0.565555785079756
0.96,0.568804067527159
0.97,0.572052349974562
0.98,0.575300632421965
0.99,0.578548914869368
1.0,0.581797197316771
1.01,0.585045479764174
1.02,0.588293762211578
1.03,0.591542044658981
1.04,0.594790327106384
1.05,0.598038609553787
1.06,0.596356261178854
1.07,0.594690369071034
1.08,0.593040598731462
1.09,0.591406632633876
1.1,0.58978814176685
1.11,0.588184840123505
1.12,0.586596422247009
1.13,0.585022595769979
1.14,0.583463076016418
1.15,0.581917599585438
1.16,0.579572558457521
1.17,0.57721459539688
1.18,0.574881689198015
1.19,0.572580451643231
1.2,0.569914184160874
1.21,0.567060996377373
1.22,0.564229848272664
1.23,0.561419941452603
1.24,0.55863070212107
1.25,0.555861604326502
1.26,0.553112249125951
1.27,0.550382278873723
1.28,0.547671319168367
1.29,0.544979092448346
1.3,0.542305322762089
1.31,0.539649738457779
1.32,0.537012088047108
1.33,0.534392189009219
1.34,0.531789751015867
1.35,0.529204636247606
1.36,0.526636613165553
1.37,0.524085506814414
1.38,0.521551136898739
1.39,0.519033334675859
1.4,0.516531921543449
1.41,0.51404674253422
1.42,0.511577668836016
1.43,0.509124523759488
1.44,0.506687176585357
1.45,0.504265494556981
1.46,0.501859323109872
1.47,0.499468552581219
1.48,0.497093071021414
1.49,0.494732729959902
1.5,0.492387425323595
1.51,0.490057026551864
1.52,0.487741443720277
1.53,0.485440559828588
1.54,0.483154278019956
1.55,0.480882494768021
1.56,0.478625088870911
1.57,0.476382009689196
1.58,0.474153125091556
1.59,0.471938349225385
1.6,0.469737592416643
1.61,0.467550797494395
1.62,0.465377842410775
1.63,0.46321866473961
1.64,0.461073194210995
1.65,0.458941335450734
1.66,0.456823012288519
1.67,0.454718170903218
1.68,0.452626725565724
1.69,0.450548588881293
1.7,0.448483739500218
1.71,0.446432070219421
1.72,0.444393516082634
1.73,0.442368043942866
1.74,0.440355544934416
1.75,0.438356012589706
1.76,0.436369364833527
