Mach,CD Power-Off
0.01,1.05761751806865
0.02,0.919416485637524
0.03,0.850828722032731
0.04,0.806775628668846
0.05,0.774966406863201
0.06,0.750388118353427
0.07,0.730536189533286
0.08,0.713991738853584
0.09,0.69987884999961
0.1,0.687621006717181
0.11,0.676820589647067
0.12,0.667191944983023
0.13,0.65852406279541
0.14,0.65065682533802
0.15,0.643465927710971
0.16,0.636852920669513
0.17,0.630739112151929
0.18,0.62506031095901
0.19,0.61976350884945
0.2,0.614804582711205
0.21,0.610146735002185
0.22,0.605758005462603
0.23,0.601611935992113
0.24,0.597685008277755
0.25,0.593957123199926
0.26,0.590800550980815
0.27,0.588853035608034
0.28,0.587159097309763
0.29,0.585552024044053
0.3,0.584025223777413
0.31,0.583057363259565
0.32,0.583274745512071
0.33,0.583492218206318
0.34,0.583709780254161
0.35,0.583927591004976
0.36,0.584145328522808
0.37,0.584363312601208
0.38,0.584581542178993
0.39,0.584799695340176
0.4,0.58501793146742
0.41,0.585236409949886
0.42,0.585454969321777
0.43,0.585673768985087
0.44,0.585892487056049
0.45,0.586111443379987
0.46,0.58633047651636
0.47,0.586549585461517
0.48,0.586768929648644
0.49,0.586988347655619
0.5,0.587207838497056
0.51,0.587427401193566
0.52,0.587647034771706
0.53,0.587866898694626
0.54,0.588086831569928
0.55,0.588306992872426
0.56,0.588527060790584
0.57,0.588747355241385
0.58,0.588967714855379
0.59,0.589188138699443
0.6,0.589408786276732
0.61,0.590325123749738
0.62,0.591216335066846
0.63,0.592106965214095
0.64,0.592997334147231
0.65,0.593887280535263
0.66,0.594776963913931
0.67,0.595666222962854
0.68,0.596555056797598
0.69,0.597443624969626
0.7,0.598331766174171
0.71,0.599219639972982
0.72,0.600107085071498
0.73,0.600994261041599
0.74,0.601881006598772
0.75,0.602767481324873
0.76,0.603653523945288
0.77,0.604539133620997
0.78,0.605424630379235
0.79,0.606309532098558
0.8,0.607194319246502
0.81,0.608078509711153
0.82,0.608962583969504
0.83,0.609846220349728
0.84,0.610729418046039
0.85,0.611612497118652
0.86,0.612495135909558
0.87,0.613377333626683
0.88,0.614259249913159
0.89,0.615140883985887
0.9,0.616022074635503
0.91,0.620211024743024
0.92,0.632777875065589
0.93,0.646103484606128
0.94,0.65390442820336
0.95,0.661705371800592
0.96,0.669506315397824
0.97,0.677307258995056
0.98,0.685108202592288
0.99,0.69290914618952
1.0,0.700710089786752
1.01,0.708511033383984
1.02,0.716311976981216
1.03,0.724112920578448
1.04,0.73191386417568
1.05,0.739714807772912
1.06,0.737432263681214
1.07,0.73516617585663
1.08,0.732916209800291
1.09,0.730682047985939
1.1,0.728463361402148
1.11,0.726259864042037
1.12,0.724071250448775
1.13,0.72189722825498
1.14,0.719737512784653
1.15,0.717591840636908
1.16,0.714646603792225
1.17,0.711688445014819
1.18,0.708755343099188
1.19,0.705853909827638
1.2,0.702977573902482
1.21,0.700124386118981
1.22,0.697293238014271
1.23,0.694483331194211
1.24,0.691694091862678
1.25,0.68892499406811
1.26,0.686175638867559
1.27,0.683445668615331
1.28,0.680734708909975
1.29,0.678042482189954
1.3,0.675368712503697
1.31,0.672713128199387
1.32,0.670075477788716
1.33,0.667455578750827
1.34,0.664853140757475
1.35,0.662268025989214
1.36,0.659700002907161
1.37,0.657148896556022
1.38,0.654614526640347
1.39,0.652096724417467
1.4,0.649595311285057
1.41,0.647110132275828
1.42,0.644641058577624
1.43,0.642187913501096
1.44,0.639750566326965
1.45,0.637328884298589
1.46,0.63492271285148
1.47,0.632531942322827
1.48,0.630156460763022
1.49,0.62779611970151
1.5,0.625450815065203
1.51,0.623120416293472
1.52,0.620804833461885
1.53,0.618503949570196
1.54,0.616217667761564
1.55,0.613945884509629
1.56,0.611688478612519
1.57,0.609445399430804
1.58,0.607216514833164
1.59,0.605001738966993
1.6,0.602800982158251
1.61,0.600614187236003
1.62,0.598441232152383
1.63,0.596282054481218
1.64,0.594136583952603
1.65,0.592004725192342
1.66,0.589886402030127
1.67,0.587781560644826
1.68,0.585690115307332
1.69,0.583611978622901
1.7,0.581547129241826
1.71,0.579495459961029
1.72,0.577456905824242
1.73,0.575431433684474
1.74,0.573418934676024
1.75,0.571419402331314
1.76,0.569432754575135
1.77,0.567458930862389
1.78,0.565497881842479
1.79,0.563549529716215
1.8,0.561613855489304
1.81,0.559690780167407
1.82,0.557780273584055
1.83,0.555882273197366
1.84,0.553996727538274
1.85,0.552123613674339
1.86,0.55026285531939
1.87,0.548414421744762
1.88,0.546578266198982
1.89,0.544754352763687
1.9,0.542942630518979
1.91,0.54114307543499
1.92,0.539355625037887
1.93,0.537580251081711
1.94,0.535816912637366
1.95,0.534065569862908
1.96,0.532326197178621
1.97,0.530598756656038
1.98,0.528883214485883
1.99,0.527179530377852
2.0,0.525487676110396
2.01,0.523923756417963
2.02,0.52236572912718
2.03,0.520825498101946
2.04,0.519302919346736
2.05,0.517797826755722
2.06,0.516263404357405
2.07,0.514256836198145
2.08,0.512264034921296
2.09,0.510284805665212
2.1,0.508318987490506
2.11,0.506366375967344
2.12,0.504426802738126
2.13,0.50250011409967
2.14,0.500586124879795
2.15,0.498684686547391
2.16,0.496795630001309
2.17,0.494918821056622
2.18,0.493054088442673
2.19,0.491201310611931
2.2,0.489360327509933
2.21,0.48753102823754
2.22,0.485713238440855
2.23,0.483906862476548
2.24,0.482111759336104
2.25,0.480327798504684
2.26,0.478554881077884
2.27,0.476792864874177
2.28,0.475041632240588
2.29,0.473301099683031
2.3,0.471571107306072
2.31,0.46985159027222
2.32,0.468142434288436
